NUMBER	ENGLISH	SPANISH
1	I	eu
2	all	tudo
3	ash	cinza
4	bark	casca
5	belly	barriga
6	big	ser grande
7	bird	pássaro
8	bite	morder
9	black	preto
10	blood	sangue
11	bone	osso
12	breast_1	seio
13	breast_2	seio
14	burn_1	Epps
15	burn_2	queimar
16	claw	unha
17	cloud	nuvem
18	cold	frio
19	come	vir
20	die	morrer
21	dog	cachorro
22	drink	beber
23	dry (N)	secar
24	ear	orelha
25	earth	chão
26	eat	comer
27	egg	ovo
28	eye	olho
29	feather	pluma
30	fire	fogo
31	fish (N)	peixe
32	flesh	carne
33	fly (V)	voar
34	foot	pé
35	full	estar cheio
36	give	dar
37	good	bom
38	grease	gordura
39	green	verde
40	hair	pelo
41	hand	mão
42	head	cabeça
43	hear	escutar
44	heart	coração
45	horn	chifre
46	hot	quente
47	kill	matar
48	knee	joelho
49	know	saber
50	leaf	folha
51	lie	deitar
52	liver	fígado
53	long	comprido
54	louse	piolho
55	man (adult male)	homem
56	many	muito
57	moon	lua
58	mountain	montanha
59	mouth	boca
60	name	nome
61	neck	pescoço
62	new	novo
63	night	noite
64	nose	nariz
65	not	não
66	one	um
67	path	caminho
68	person	gente
69	rain	chuva
70	red	vermelho
71	root	raiz
72	round	redondo
73	sand	areia
74	say	dizer
75	see	ver
76	seed	semente
77	sit	jáʔakahe
78	skin	mutum
79	sleep	dormir
80	small	pequeno
81	smoke	nevoeiro
82	stand	levantar-se
83	star	estrela
84	stone	pedra
85	sun	sol
86	swim	nadar
87	tail	rabo
88	that	esse
89	this	este
90	thou, you	vocês
91	tongue	língua
92	tooth	dente
93	tree, wood	árvore
94	two	dois
95	walk	andar
96	water	água
97	we	nós
98	what	nós
99	white	branco
100	who	quem
101	woman	mulher
102	yellow	amarelo
